Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,24621,28323,28245,31415
2025,7,July,24341,22735,38327,41195
2025,6,June,20035,20836,41241,36570
2025,5,May,23349,23446,30887,29478
2025,4,April,20240,19671,23658,26693
2025,3,March,18542,19240,20526,19291
2025,2,February,17229,15695,13047,14104
2025,1,January,17808,18865,14802,20755
2024,12,December,19330,18305,22526,21107
2024,11,November,16743,18281,20453,21870
2024,10,October,20359,20194,21539,23913
2024,9,September,18396,18932,24398,22537
2024,8,August,24719,27051,24809,28105
2024,7,July,25772,24037,33101,37620
2024,6,June,18747,18813,36616,31598
2024,5,May,19212,20776,25920,24703
2024,4,April,20145,20456,20673,24730
2024,3,March,19316,19053,20750,20011
2024,2,February,16910,15779,14932,15641
2024,1,January,17574,18487,14371,20999
2023,12,December,18991,18487,22339,21455
2023,11,November,17042,17524,19034,22285
2023,10,October,16882,18246,18367,21955
2023,9,September,16371,16890,21325,20355
2023,8,August,22795,24714,20665,25182
2023,7,July,22198,21373,27906,33654
2023,6,June,16762,16228,29950,26495
2023,5,May,15114,16835,20672,22147
2023,4,April,16602,17437,19107,22393
2023,3,March,19097,19521,19440,19198
2023,2,February,17878,15903,13929,15991
2023,1,January,16661,16113,12905,20255
2022,12,December,16055,15461,19174,18533
2022,11,November,16422,17572,17744,21180
2022,10,October,18873,18771,19389,22039
2022,9,September,15454,15627,20096,18643
2022,8,August,17930,20248,18074,22269
2022,7,July,17220,16662,23499,25280
2022,6,June,14093,14078,24924,21433
2022,5,May,15777,16595,18872,18855
2022,4,April,14600,14747,16193,17442
2022,3,March,11704,10199,13379,13680
2022,2,February,5200,4639,8169,8731
2022,1,January,4521,5050,7103,11039
2021,12,December,6592,6493,14605,14227
2021,11,November,5529,4553,11135,12476
2021,10,October,4980,2827,8754,9271
2021,9,September,3468,1833,5769,5669
2021,8,August,3859,2113,5643,7143
2021,7,July,2071,820,7595,8435
2021,6,June,1464,747,8302,9040
2021,5,May,1622,800,7264,8216
2021,4,April,1809,687,5695,6837
2021,3,March,2168,679,4201,4490
2021,2,February,1800,657,2904,3533
2021,1,January,1265,404,3038,5893
2020,12,December,887,462,4968,5242
2020,11,November,906,502,5257,5712
2020,10,October,923,407,4426,4502
2020,9,September,744,403,3476,3651
2020,8,August,973,457,3041,4142
2020,7,July,810,291,3436,3310
2020,6,June,533,181,1564,1839
2020,5,May,121,43,22,114
2020,4,April,82,144,68,348
2020,3,March,7545,13986,8711,12243
2020,2,February,22160,20838,18467,19710
2020,1,January,22326,21398,18389,24203
2019,12,December,20373,20181,25929,24775
2019,11,November,19155,19868,23883,24698
2019,10,October,20282,21087,23795,25603
2019,9,September,19920,19978,22239,22718
2019,8,August,23248,24906,26204,29154
2019,7,July,23024,21768,31568,35890
2019,6,June,19510,19718,32518,30112
2019,5,May,19537,22047,23701,24655
2019,4,April,22381,22567,22128,24161
2019,3,March,24068,24196,22949,23007
2019,2,February,20971,20192,16854,17981
2019,1,January,21331,21095,17601,23664
