Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,370288,366326,330223,416070
2025,7,July,343392,319637,442419,506552
2025,6,June,293794,318179,506522,434429
2025,5,May,319101,346318,385371,354825
2025,4,April,299200,271917,350274,388539
2025,3,March,277696,273065,355414,349301
2025,2,February,237054,239926,280718,286149
2025,1,January,307612,303451,293825,372848
2024,12,December,299816,299470,397578,352057
2024,11,November,247059,288354,335149,327801
2024,10,October,314614,343328,344345,355336
2024,9,September,358516,337524,329040,326688
2024,8,August,401981,385079,323658,414884
2024,7,July,372061,344117,426527,494835
2024,6,June,319996,321638,492653,420418
2024,5,May,330227,358835,373226,329956
2024,4,April,301908,277733,314349,369345
2024,3,March,295263,275286,348144,334876
2024,2,February,246229,242984,268460,268425
2024,1,January,283919,279554,259333,337922
2023,12,December,282958,289006,354168,300826
2023,11,November,240236,272519,297054,303629
2023,10,October,300594,326944,299507,320422
2023,9,September,351297,325624,312058,304051
2023,8,August,378302,367521,291675,369616
2023,7,July,340932,320095,385956,440347
2023,6,June,289293,283315,433060,372120
2023,5,May,290376,312181,325063,303205
2023,4,April,264994,251943,283102,305883
2023,3,March,244408,229854,278270,276543
2023,2,February,192265,190407,217289,220075
2023,1,January,234368,238835,215395,274865
2022,12,December,237659,242983,294046,252600
2022,11,November,193295,225346,238557,245126
2022,10,October,242380,258184,232006,251379
2022,9,September,267560,257746,247656,244135
2022,8,August,291621,295117,233535,301246
2022,7,July,273561,252567,308655,339254
2022,6,June,224022,230329,330919,272984
2022,5,May,209800,218786,216880,199331
2022,4,April,180711,166600,176762,177080
2022,3,March,129960,124672,145532,138294
2022,2,February,91647,85698,94292,91031
2022,1,January,106013,113269,82746,121868
2021,12,December,137209,135116,143091,130642
2021,11,November,100429,93786,111141,116936
2021,10,October,70349,72873,98315,108120
2021,9,September,79065,68469,90441,97649
2021,8,August,104538,76911,97029,132581
2021,7,July,73020,70748,113379,120893
2021,6,June,43406,56420,86670,81210
2021,5,May,31248,37251,48770,52404
2021,4,April,35186,33010,33916,41940
2021,3,March,31375,30321,33642,34899
2021,2,February,24975,23640,21052,23758
2021,1,January,40719,33285,24639,43428
2020,12,December,32752,45637,43009,38415
2020,11,November,26836,36833,36869,37548
2020,10,October,26204,32289,30933,32926
2020,9,September,23550,30552,23376,25208
2020,8,August,24675,35730,18592,23317
2020,7,July,16924,29789,8928,15801
2020,6,June,9978,18641,4290,10281
2020,5,May,3037,8858,1360,3773
2020,4,April,2599,7417,1071,7216
2020,3,March,92472,154603,75236,143651
2020,2,February,232157,229430,191102,230148
2020,1,January,327579,316544,249500,323394
2019,12,December,319950,324368,333599,294243
2019,11,November,272454,302286,286584,289518
2019,10,October,329330,355417,281582,293715
2019,9,September,375750,362467,276729,286203
2019,8,August,439245,435148,291775,364445
2019,7,July,411899,367308,363697,412252
2019,6,June,364228,372737,416577,360436
2019,5,May,363700,380082,312146,297202
2019,4,April,335485,298514,283147,313521
2019,3,March,293038,286319,289406,288202
2019,2,February,275632,274361,219592,228166
2019,1,January,311588,306458,236191,308866
