Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,7,8,42,28
2025,7,July,0,15,62,52
2025,6,June,14,0,60,55
2025,5,May,0,0,43,26
2025,4,April,0,1,11,6
2025,3,March,0,0,14,46
2025,2,February,17,18,26,29
2025,1,January,10,16,19,66
2024,12,December,10,1,40,41
2024,11,November,13,1,9,15
2024,10,October,0,0,9,1
2024,9,September,8,0,8,29
2024,8,August,1,11,44,33
2024,7,July,18,5,25,26
2024,6,June,13,15,34,64
2024,5,May,9,8,42,23
2024,4,April,10,5,17,50
2024,3,March,6,8,22,59
2024,2,February,0,5,34,6
2024,1,January,5,6,22,27
2023,12,December,13,6,28,24
2023,11,November,1,0,25,19
2023,10,October,0,4,3,6
2023,9,September,4,0,2,8
2023,8,August,3,1,24,29
2023,7,July,0,8,60,37
2023,6,June,9,0,31,21
2023,5,May,3,7,42,63
2023,4,April,4,0,11,30
2023,3,March,3,1,31,44
2023,2,February,8,8,24,37
2023,1,January,3,25,22,75
2022,12,December,6,1,46,34
2022,11,November,9,9,30,49
2022,10,October,0,24,9,18
2022,9,September,6,4,13,23
2022,8,August,0,8,15,16
2022,7,July,1,4,44,54
2022,6,June,2,1,16,35
2022,5,May,47,1,53,26
2022,4,April,0,3,21,38
2022,3,March,0,0,50,67
2022,2,February,1,0,14,19
2022,1,January,0,1,21,62
2021,12,December,2,10,31,22
2021,11,November,20,6,28,40
2021,10,October,4,8,1,4
2021,9,September,1,1,20,24
2021,8,August,0,1,8,16
2021,7,July,0,0,24,7
2021,6,June,0,0,11,18
2021,5,May,8,0,23,39
2021,4,April,7,1,12,22
2021,3,March,3,0,13,37
2021,2,February,0,3,13,12
2021,1,January,0,7,16,26
2020,12,December,7,3,38,12
2020,11,November,0,1,16,11
2020,10,October,0,1,14,21
2020,9,September,2,19,21,4
2020,8,August,4,3,7,11
2020,7,July,0,0,14,14
2020,6,June,0,0,12,0
2020,5,May,0,4,2,0
2020,3,March,0,24,3,8
2020,2,February,11,9,15,33
2020,1,January,0,10,40,38
2019,12,December,24,15,21,0
2019,11,November,2,2,12,3
2019,10,October,0,1,12,15
2019,9,September,45,0,56,78
2019,8,August,6,7,24,7
2019,7,July,0,4,19,4
2019,6,June,4,0,63,78
2019,5,May,3,2,30,34
2019,4,April,1,7,21,13
2019,3,March,0,2,34,35
2019,2,February,0,26,19,23
2019,1,January,1,57,11,14
