Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,1,6,0
2025,7,July,0,15,37,0
2025,6,June,0,17,46,0
2025,5,May,0,7,36,0
2025,4,April,0,33,48,1
2025,3,March,0,8,86,0
2025,2,February,0,10,30,0
2025,1,January,0,7,11,0
2024,12,December,0,3,35,0
2024,11,November,0,37,25,0
2024,10,October,0,16,20,0
2024,9,September,0,23,11,0
2024,8,August,0,17,24,2
2024,7,July,0,3,27,0
2024,6,June,0,10,26,0
2024,5,May,0,1,28,0
2024,4,April,0,0,29,4
2024,3,March,0,11,53,0
2024,2,February,0,0,9,7
2024,1,January,0,0,16,0
2023,12,December,0,4,33,0
2023,11,November,0,0,11,0
2023,10,October,0,3,13,0
2023,8,August,0,6,21,0
2023,7,July,0,0,5,0
2023,6,June,0,0,37,8
2023,5,May,0,1,26,0
2023,4,April,0,0,22,0
2023,3,March,0,2,33,0
2023,2,February,0,2,22,0
2023,1,January,0,1,10,0
2022,12,December,0,0,9,0
2022,11,November,0,0,20,0
2022,10,October,0,1,0,0
2022,9,September,0,6,2,0
2022,8,August,0,0,16,0
2022,7,July,0,1,9,0
2022,6,June,0,1,17,8
2022,5,May,0,0,15,0
2022,4,April,0,1,19,0
2022,3,March,0,0,8,0
2022,2,February,0,1,5,0
2022,1,January,0,0,12,0
2021,12,December,0,2,16,6
2021,11,November,1,8,9,1
2021,10,October,0,5,0,0
2021,9,September,0,2,0,0
2021,8,August,0,3,0,0
2021,7,July,0,0,20,0
2021,6,June,0,0,2,0
2021,5,May,0,0,20,0
2021,4,April,0,0,4,0
2021,3,March,0,5,59,0
2021,2,February,0,3,7,0
2020,12,December,0,0,12,0
2020,10,October,0,4,1,0
2020,9,September,0,3,1,0
2020,8,August,0,1,4,0
2020,7,July,0,0,36,0
2020,2,February,0,0,15,0
2020,1,January,0,2,3,0
2019,12,December,1,2,53,3
2019,11,November,0,1,72,0
2019,10,October,0,8,49,0
2019,9,September,0,19,42,0
2019,8,August,0,4,17,0
2019,7,July,0,25,52,0
2019,6,June,0,13,49,0
2019,5,May,0,6,67,0
2019,4,April,0,3,30,0
2019,3,March,0,2,53,0
2019,2,February,0,19,50,0
2019,1,January,0,4,65,0
