Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,14,1,0
2025,5,May,0,0,4,0
2025,2,February,0,1,1,0
2025,1,January,0,6,0,0
2024,12,December,0,0,2,0
2024,9,September,0,0,3,0
2024,7,July,0,0,2,0
2024,4,April,0,0,2,0
2023,10,October,0,0,3,0
2023,6,June,0,0,4,0
2023,5,May,0,0,11,0
2023,4,April,0,1,2,0
2022,12,December,0,0,12,0
2022,8,August,0,2,2,0
2022,6,June,0,0,4,0
2022,5,May,0,2,0,0
2022,4,April,0,0,2,0
2022,3,March,0,4,0,0
2021,11,November,0,2,5,0
2021,10,October,0,2,8,0
2021,8,August,0,3,2,0
2021,5,May,0,0,1,0
2021,4,April,0,1,6,0
2020,12,December,0,0,6,0
2020,10,October,0,2,10,0
2020,8,August,0,0,6,0
2020,7,July,0,0,7,0
2020,6,June,0,1,1,0
2020,3,March,0,0,2,0
2020,2,February,1,15,14,6
2020,1,January,0,12,2,0
2019,12,December,0,0,3,0
2019,11,November,0,16,2,0
2019,10,October,0,0,6,0
2019,9,September,0,4,1,0
2019,8,August,0,0,2,0
2019,4,April,0,0,2,0
2019,3,March,0,0,7,0
2019,1,January,0,0,18,0
