Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,1,3,0
2025,3,March,0,0,7,0
2024,6,June,0,0,9,0
2023,12,December,0,0,1,0
2023,6,June,0,0,6,0
2023,3,March,0,9,0,0
2023,2,February,0,8,1,0
2022,11,November,0,0,6,0
2022,8,August,0,7,1,0
2022,4,April,0,10,0,0
2022,2,February,0,0,2,0
2022,1,January,0,1,1,0
2021,10,October,0,6,0,0
2021,8,August,0,0,5,0
2021,7,July,0,6,5,0
2020,7,July,0,3,0,0
2020,6,June,0,0,4,0
2020,2,February,0,0,3,0
2020,1,January,0,0,4,0
2019,12,December,0,0,3,0
2019,10,October,0,2,0,0
2019,9,September,0,6,0,0
2019,8,August,0,1,3,0
2019,4,April,1,0,2,2
2019,2,February,0,0,2,0
