Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,8,0
2025,7,July,0,2,10,0
2025,6,June,0,0,4,0
2025,5,May,0,3,2,0
2025,4,April,0,4,0,0
2025,1,January,0,0,2,0
2024,11,November,0,0,5,0
2024,10,October,0,3,13,0
2024,9,September,0,0,4,0
2024,8,August,0,3,0,0
2024,7,July,0,1,0,0
2024,6,June,0,7,4,0
2024,5,May,0,0,12,0
2024,3,March,0,3,8,0
2024,1,January,0,0,7,0
2023,10,October,0,0,2,0
2023,9,September,0,4,1,0
2023,7,July,0,19,8,0
2023,6,June,0,0,1,0
2023,5,May,0,0,2,0
2023,3,March,0,0,2,0
2022,12,December,0,0,2,0
2022,10,October,0,9,4,0
2022,8,August,0,0,18,0
2022,7,July,0,2,18,0
2022,6,June,0,0,6,0
2022,5,May,0,0,4,0
2022,4,April,0,0,4,0
2022,3,March,0,0,6,0
2021,12,December,0,1,0,2
2021,11,November,0,4,5,0
2021,10,October,0,2,12,0
2021,9,September,0,0,20,0
2021,6,June,0,3,6,0
2021,5,May,0,0,11,0
2020,12,December,0,3,15,0
2020,10,October,0,10,6,0
2020,8,August,0,0,5,0
2019,11,November,0,0,10,0
2019,10,October,0,4,0,0
2019,9,September,0,3,0,0
2019,7,July,0,5,14,0
2019,6,June,0,13,6,0
2019,5,May,0,4,3,0
2019,4,April,0,0,1,0
2019,3,March,0,2,1,0
