Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,15,6,33,24
2025,7,July,13,11,59,71
2025,6,June,21,16,50,65
2025,5,May,14,18,50,67
2025,4,April,8,9,87,72
2025,3,March,9,7,50,43
2025,2,February,24,8,61,69
2025,1,January,29,5,25,41
2024,12,December,32,20,67,78
2024,11,November,5,10,55,51
2024,10,October,28,34,64,64
2024,9,September,20,22,29,33
2024,8,August,23,19,46,60
2024,7,July,28,13,23,52
2024,6,June,22,19,50,37
2024,5,May,18,19,72,76
2024,4,April,16,23,60,79
2024,3,March,14,19,72,60
2024,2,February,12,13,27,62
2024,1,January,20,17,40,53
2023,12,December,36,16,64,62
2023,11,November,15,16,78,102
2023,10,October,28,30,47,65
2023,9,September,19,18,44,68
2023,8,August,10,31,53,40
2023,7,July,20,16,47,66
2023,6,June,24,15,47,61
2023,5,May,16,11,54,62
2023,4,April,20,19,109,76
2023,3,March,9,12,126,99
2023,2,February,1,1,70,68
2023,1,January,16,12,63,72
2022,12,December,8,10,35,23
2022,11,November,7,4,65,54
2022,10,October,41,15,62,107
2022,9,September,11,17,54,52
2022,8,August,8,14,25,26
2022,7,July,4,10,42,58
2022,6,June,9,11,58,54
2022,5,May,13,11,48,66
2022,4,April,13,11,71,114
2022,3,March,13,15,75,111
2022,2,February,19,4,39,38
2022,1,January,10,18,28,41
2021,12,December,28,26,36,56
2021,11,November,30,20,82,64
2021,10,October,83,18,49,69
2021,9,September,123,56,50,68
2021,8,August,117,51,36,30
2021,7,July,85,35,71,69
2021,6,June,87,36,28,37
2021,5,May,76,37,55,56
2021,4,April,185,39,104,123
2021,3,March,59,29,52,45
2021,2,February,39,8,37,39
2021,1,January,42,14,30,60
2020,12,December,60,16,32,62
2020,11,November,52,26,21,31
2020,10,October,62,21,30,40
2020,9,September,16,12,34,38
2020,8,August,31,13,13,29
2020,7,July,32,18,22,9
2020,6,June,16,8,13,13
2020,5,May,19,4,12,31
2020,4,April,6,3,7,22
2020,3,March,31,22,29,113
2020,2,February,9,17,34,104
2020,1,January,13,14,29,117
2019,12,December,16,11,37,105
2019,11,November,12,12,41,135
2019,10,October,18,11,49,149
2019,9,September,30,43,42,114
2019,8,August,22,18,55,136
2019,7,July,18,20,41,111
2019,6,June,22,18,53,149
2019,5,May,31,22,60,185
2019,4,April,38,30,87,182
2019,3,March,20,17,39,190
2019,2,February,17,28,27,132
2019,1,January,24,31,34,93
