Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,7,5,24,40
2025,7,July,8,9,7,10
2025,6,June,0,0,4,0
2025,5,May,2,0,0,8
2025,4,April,1,0,0,8
2025,2,February,0,1,0,0
2025,1,January,12,0,0,4
2024,10,October,0,0,6,10
2024,9,September,0,1,0,1
2024,8,August,1,1,13,15
2024,7,July,4,11,24,18
2024,6,June,4,0,10,43
2024,5,May,0,0,3,9
2024,3,March,0,0,0,2
2024,2,February,0,1,2,0
2023,11,November,0,1,1,0
2023,10,October,0,0,4,9
2023,9,September,10,4,39,17
2023,8,August,0,21,27,10
2023,7,July,11,18,7,32
2023,6,June,0,0,6,11
2023,5,May,2,2,8,6
2023,4,April,0,0,0,8
2023,3,March,0,1,1,0
2023,2,February,0,0,1,0
2023,1,January,0,0,0,7
2022,12,December,0,2,2,0
2022,11,November,0,0,4,2
2022,10,October,3,0,0,6
2022,9,September,7,1,0,5
2022,8,August,4,8,11,5
2022,7,July,10,24,11,25
2022,6,June,5,1,16,5
2022,5,May,1,3,0,7
2022,4,April,2,0,0,1
2021,11,November,0,0,0,2
2021,10,October,4,4,8,4
2021,9,September,0,0,2,4
2021,8,August,7,18,2,0
2021,7,July,1,0,2,6
2021,6,June,0,0,0,1
2020,10,October,0,0,2,0
2020,8,August,0,0,8,0
2020,7,July,0,0,5,0
2020,5,May,0,0,4,0
2020,4,April,0,0,4,0
2020,2,February,4,0,0,0
2020,1,January,0,0,0,2
2019,12,December,0,0,1,0
2019,11,November,0,0,0,4
2019,10,October,2,1,0,5
2019,9,September,4,7,12,17
2019,8,August,0,5,14,22
2019,7,July,23,11,18,55
2019,6,June,4,5,16,11
2019,5,May,0,0,4,0
2019,4,April,2,0,0,0
2019,3,March,3,0,0,6
2019,1,January,4,0,0,0
