Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,10,14,14,17
2025,7,July,30,8,4,28
2025,6,June,5,1,7,23
2025,5,May,1,0,5,11
2025,4,April,9,0,2,1
2025,3,March,9,0,0,0
2025,2,February,9,1,0,1
2025,1,January,0,1,1,0
2024,12,December,6,0,0,0
2024,11,November,3,0,1,8
2024,10,October,3,6,1,7
2024,9,September,13,12,11,17
2024,8,August,14,5,16,26
2024,7,July,39,12,5,24
2024,6,June,3,2,0,15
2024,5,May,17,4,9,3
2024,4,April,1,0,0,3
2024,3,March,0,0,0,2
2024,2,February,7,0,1,10
2023,12,December,3,0,0,1
2023,10,October,5,2,0,6
2023,9,September,10,5,10,13
2023,8,August,18,7,8,39
2023,7,July,45,6,2,18
2023,6,June,12,0,8,13
2023,5,May,12,0,0,3
2023,4,April,12,0,0,0
2023,3,March,3,0,3,2
2022,12,December,0,0,0,1
2022,11,November,0,0,5,1
2022,10,October,8,0,1,8
2022,9,September,4,1,9,20
2022,8,August,14,0,12,38
2022,7,July,38,7,5,21
2022,6,June,4,5,0,8
2022,5,May,4,5,0,4
2022,4,April,1,0,0,1
2021,12,December,1,0,0,0
2021,10,October,2,0,0,4
2021,9,September,2,0,2,18
2021,8,August,3,2,6,5
2021,7,July,1,1,2,2
2021,3,March,1,0,0,0
2020,8,August,1,0,0,1
2020,7,July,1,0,0,0
2020,6,June,0,0,0,2
2020,3,March,1,0,1,6
2020,2,February,2,0,0,0
2020,1,January,1,1,0,3
2019,12,December,0,0,1,0
2019,11,November,2,2,0,2
2019,10,October,1,0,2,11
2019,9,September,4,1,1,39
2019,8,August,13,6,0,31
2019,7,July,54,7,10,24
2019,6,June,13,0,2,35
2019,5,May,11,1,3,10
2019,4,April,6,2,0,0
2019,3,March,3,0,1,8
