Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,47,24,86,120
2025,7,July,270,28,190,281
2025,6,June,42,64,221,727
2025,5,May,102,64,207,321
2025,4,April,55,60,196,306
2025,3,March,48,48,191,312
2025,2,February,57,51,103,161
2025,1,January,62,34,111,352
2024,12,December,75,35,161,176
2024,11,November,50,52,115,165
2024,10,October,37,43,47,114
2024,9,September,37,34,63,84
2024,8,August,52,53,98,157
2024,7,July,54,22,150,176
2024,6,June,19,52,216,255
2024,5,May,53,41,143,348
2024,4,April,60,106,165,275
2024,3,March,55,77,296,260
2024,2,February,79,43,112,173
2024,1,January,63,53,115,251
2023,12,December,79,43,217,100
2023,11,November,53,44,128,143
2023,10,October,42,61,68,132
2023,9,September,23,20,46,70
2023,8,August,34,24,106,197
2023,7,July,17,33,113,157
2023,6,June,44,101,437,188
2023,5,May,46,51,182,219
2023,4,April,146,100,153,203
2023,3,March,100,31,249,306
2023,2,February,55,64,154,219
2023,1,January,87,55,130,207
2022,12,December,77,70,150,144
2022,11,November,47,40,104,151
2022,10,October,247,167,46,138
2022,9,September,58,68,79,99
2022,8,August,54,45,138,129
2022,7,July,21,18,137,163
2022,6,June,23,37,190,197
2022,5,May,65,57,113,114
2022,4,April,104,102,147,144
2022,3,March,85,66,252,224
2022,2,February,30,36,147,145
2022,1,January,45,44,78,204
2021,12,December,66,57,175,72
2021,11,November,56,70,62,127
2021,10,October,59,53,48,66
2021,9,September,49,44,62,57
2021,8,August,10,25,68,100
2021,7,July,56,32,117,367
2021,6,June,17,23,184,168
2021,5,May,25,39,234,122
2021,4,April,24,18,116,163
2021,3,March,42,34,108,132
2021,2,February,10,14,52,40
2021,1,January,18,10,59,129
2020,12,December,19,19,64,21
2020,11,November,17,21,73,62
2020,10,October,23,33,25,21
2020,9,September,8,17,31,11
2020,8,August,11,28,23,31
2020,7,July,12,19,44,33
2020,6,June,25,19,14,22
2020,5,May,17,18,8,4
2020,4,April,3,11,2,2
2020,3,March,344,348,111,132
2020,2,February,59,59,156,95
2020,1,January,41,46,50,136
2019,12,December,81,98,131,157
2019,11,November,56,45,48,55
2019,10,October,999,977,274,254
2019,9,September,717,615,287,325
2019,8,August,879,837,370,396
2019,7,July,765,750,487,480
2019,6,June,580,637,475,375
2019,5,May,981,1049,473,371
2019,4,April,1307,1240,381,360
2019,3,March,1457,1330,323,390
2019,2,February,101,88,104,122
2019,1,January,65,69,86,169
