Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,135,114,83,109
2025,7,July,95,68,111,112
2025,6,June,99,104,280,254
2025,5,May,126,178,323,335
2025,4,April,282,310,471,529
2025,3,March,271,279,440,471
2025,2,February,223,215,292,268
2025,1,January,318,300,311,555
2024,12,December,392,280,411,375
2024,11,November,252,275,436,349
2024,10,October,282,251,312,262
2024,9,September,104,81,134,162
2024,8,August,110,101,106,103
2024,7,July,82,109,106,132
2024,6,June,113,97,192,221
2024,5,May,109,179,246,228
2024,4,April,180,336,305,405
2024,3,March,386,361,554,514
2024,2,February,280,352,321,367
2024,1,January,258,358,378,575
2023,12,December,368,269,454,339
2023,11,November,311,352,249,254
2023,10,October,263,245,161,171
2023,9,September,160,125,84,114
2023,8,August,71,64,67,78
2023,7,July,88,110,98,79
2023,6,June,85,118,200,192
2023,5,May,142,226,303,373
2023,4,April,179,305,286,461
2023,3,March,212,217,321,416
2023,2,February,277,270,227,246
2023,1,January,318,365,241,363
2022,12,December,350,204,326,282
2022,11,November,277,238,316,322
2022,10,October,233,211,310,349
2022,9,September,113,129,126,84
2022,8,August,136,142,116,127
2022,7,July,90,64,86,114
2022,6,June,102,92,210,197
2022,5,May,142,209,278,287
2022,4,April,190,317,434,365
2022,3,March,292,256,436,479
2022,2,February,238,213,317,326
2022,1,January,298,274,274,429
2021,12,December,336,251,297,183
2021,11,November,338,252,192,311
2021,10,October,295,230,224,241
2021,9,September,115,93,80,78
2021,8,August,59,58,57,55
2021,7,July,22,12,22,55
2021,6,June,109,99,141,118
2021,5,May,96,125,257,322
2021,4,April,152,151,231,269
2021,3,March,112,125,308,314
2021,2,February,134,99,153,157
2021,1,January,177,202,156,196
2020,12,December,196,140,229,145
2020,11,November,102,98,174,180
2020,10,October,120,57,181,147
2020,9,September,50,70,74,74
2020,8,August,62,38,46,46
2020,7,July,7,22,38,70
2020,6,June,45,61,42,24
2020,5,May,16,25,11,20
2020,4,April,7,39,17,16
2020,3,March,139,208,142,216
2020,2,February,154,181,127,208
2020,1,January,260,259,167,244
2019,12,December,184,130,250,169
2019,11,November,235,217,114,85
2019,10,October,175,147,145,144
2019,9,September,72,65,56,42
2019,8,August,88,79,65,85
2019,7,July,38,47,81,60
2019,6,June,61,113,115,154
2019,5,May,93,81,123,134
2019,4,April,211,302,147,118
2019,3,March,149,221,313,308
2019,2,February,196,214,132,142
2019,1,January,227,281,150,215
