Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,14,10,36,5
2025,7,July,86,0,13,59
2025,6,June,9,18,24,18
2025,5,May,11,19,29,20
2025,4,April,0,7,44,5
2025,3,March,15,11,37,43
2025,2,February,6,7,25,25
2025,1,January,0,10,33,30
2024,12,December,14,39,70,105
2024,11,November,5,14,98,17
2024,10,October,9,18,21,7
2024,9,September,61,70,32,29
2024,8,August,2,3,10,5
2024,7,July,13,90,15,16
2024,6,June,3,14,31,9
2024,5,May,25,32,18,21
2024,4,April,8,2,6,20
2024,3,March,10,21,48,13
2024,2,February,4,5,26,22
2024,1,January,11,7,10,7
2023,12,December,10,24,38,22
2023,11,November,16,49,27,21
2023,10,October,33,24,32,28
2023,9,September,41,37,34,22
2023,8,August,14,13,297,304
2023,7,July,9,16,23,13
2023,6,June,11,11,16,27
2023,5,May,34,36,28,8
2023,4,April,23,35,26,32
2023,3,March,17,16,26,12
2023,2,February,13,13,24,21
2023,1,January,11,13,20,34
2022,12,December,22,22,33,18
2022,11,November,66,75,34,45
2022,10,October,23,32,29,16
2022,9,September,61,39,37,20
2022,8,August,26,17,16,16
2022,7,July,12,15,21,14
2022,6,June,20,23,21,15
2022,5,May,48,60,20,24
2022,4,April,31,37,17,25
2022,3,March,17,14,5,22
2022,2,February,6,18,190,12
2022,1,January,15,1,14,12
2021,12,December,18,22,14,14
2021,11,November,9,19,24,14
2021,10,October,38,42,27,35
2021,9,September,38,16,17,18
2021,8,August,18,12,19,9
2021,7,July,12,5,3,3
2021,6,June,8,3,7,5
2021,5,May,16,10,11,22
2021,4,April,10,5,9,13
2021,3,March,1,0,0,0
2021,2,February,0,5,13,30
2021,1,January,1,0,0,5
2020,12,December,4,5,14,3
2020,11,November,0,4,0,2
2020,10,October,1,9,5,3
2020,9,September,0,5,0,0
2020,8,August,2,11,12,0
2020,7,July,2,1,0,2
2020,6,June,7,3,1,1
2020,5,May,7,6,0,0
2020,3,March,5,13,12,2
2020,2,February,18,28,7,9
2020,1,January,14,10,41,49
2019,12,December,32,35,27,15
2019,11,November,40,37,34,18
2019,10,October,54,31,52,116
2019,9,September,46,42,10,17
2019,8,August,24,34,19,11
2019,7,July,180,39,8,24
2019,6,June,20,10,9,7
2019,5,May,13,5,12,34
2019,4,April,18,9,20,35
2019,3,March,6,4,23,39
2019,2,February,15,27,29,26
2019,1,January,16,11,20,33
