Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,3,March,0,3,0,0
2024,11,November,0,2,0,0
2024,6,June,0,2,8,0
2023,9,September,0,8,0,0
2023,8,August,0,2,0,0
2023,7,July,0,2,0,0
2023,5,May,0,6,1,0
2022,10,October,0,0,2,0
2022,6,June,0,2,0,0
2022,5,May,88,0,1,1
2022,4,April,0,2,0,0
2021,12,December,0,0,7,0
2021,10,October,0,4,0,0
2021,8,August,0,4,0,0
2021,4,April,0,2,0,0
2021,3,March,0,2,0,0
2020,12,December,0,0,7,0
2020,8,August,0,3,1,0
2019,10,October,0,7,0,0
2019,8,August,0,2,0,0
2019,5,May,148,2,0,0
