Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,5,0
2025,7,July,3,13,66,29
2025,6,June,5,0,53,41
2025,5,May,0,0,26,19
2025,4,April,0,4,29,3
2025,3,March,9,12,42,22
2025,2,February,1,2,59,28
2025,1,January,0,4,10,13
2024,12,December,5,11,23,0
2024,11,November,15,6,18,4
2024,10,October,0,0,0,14
2024,9,September,10,0,13,5
2024,8,August,1,0,41,38
2024,7,July,12,13,28,0
2024,6,June,8,9,12,16
2024,5,May,17,20,18,9
2024,4,April,14,7,17,15
2024,3,March,1,0,27,37
2024,2,February,0,2,7,0
2024,1,January,8,7,38,13
2023,12,December,2,0,37,40
2023,11,November,2,1,7,6
2023,10,October,0,2,8,14
2023,9,September,1,5,33,42
2023,8,August,0,0,13,1
2023,7,July,16,12,31,18
2023,6,June,1,1,12,14
2023,5,May,0,0,1,1
2023,4,April,7,14,24,14
2023,3,March,2,1,21,14
2023,2,February,3,9,35,25
2023,1,January,3,0,18,12
2022,12,December,8,8,50,10
2022,11,November,0,1,11,0
2022,10,October,0,0,10,40
2022,9,September,0,27,0,1
2022,8,August,1,5,21,9
2022,7,July,2,2,4,0
2022,6,June,0,2,11,0
2022,5,May,6,0,7,1
2022,4,April,6,9,18,12
2022,3,March,6,6,11,11
2022,2,February,0,0,5,2
2022,1,January,0,0,10,4
2021,12,December,0,0,13,0
2021,11,November,16,0,15,2
2021,10,October,0,4,0,0
2021,9,September,0,3,12,0
2021,8,August,0,0,3,5
2021,7,July,0,0,15,14
2021,6,June,1,1,30,7
2021,5,May,0,1,19,13
2021,4,April,1,1,13,13
2021,3,March,0,1,24,0
2021,2,February,0,0,7,16
2021,1,January,0,0,10,25
2020,12,December,1,0,9,5
2020,11,November,0,0,7,4
2020,10,October,0,1,14,6
2020,9,September,0,0,3,5
2020,8,August,0,0,0,7
2020,7,July,0,1,0,0
2020,6,June,2,3,0,0
2020,5,May,4,2,0,6
2020,4,April,2,3,0,0
2020,3,March,0,2,1,15
2020,2,February,3,4,2,5
2020,1,January,1,4,11,8
2019,12,December,3,3,13,8
2019,11,November,2,0,8,8
2019,10,October,2,6,17,24
2019,9,September,0,0,6,0
2019,8,August,0,2,24,26
2019,7,July,2,2,14,10
2019,6,June,3,0,31,43
2019,5,May,15,8,20,10
2019,4,April,1,2,18,34
2019,3,March,20,7,16,28
2019,2,February,0,0,0,2
2019,1,January,10,0,128,33
