Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,68,63,47,37
2025,7,July,17,13,53,76
2025,6,June,19,16,52,27
2025,5,May,13,20,29,21
2025,4,April,14,16,29,35
2025,3,March,22,14,41,44
2025,2,February,12,11,32,31
2025,1,January,19,10,28,58
2024,12,December,19,20,50,42
2024,11,November,8,18,46,64
2024,10,October,19,9,35,33
2024,9,September,10,19,27,30
2024,8,August,30,30,58,65
2024,7,July,11,9,34,29
2024,6,June,3,3,43,24
2024,5,May,4,1,6,8
2024,4,April,5,5,38,30
2024,3,March,36,57,193,61
2024,2,February,56,33,72,84
2024,1,January,147,44,84,185
2023,12,December,81,136,142,43
2023,11,November,5,0,34,14
2023,10,October,7,3,29,51
2023,9,September,1,2,4,13
2023,8,August,8,5,22,39
2023,7,July,27,24,15,17
2023,6,June,16,6,14,38
2023,5,May,1,5,31,53
2023,4,April,17,16,99,114
2023,3,March,57,49,8,48
2023,2,February,0,6,54,26
2023,1,January,36,31,47,82
2022,12,December,47,44,167,104
2022,11,November,4,12,45,34
2022,10,October,19,25,103,48
2022,9,September,40,49,93,97
2022,8,August,168,114,120,156
2022,7,July,69,55,177,85
2022,6,June,98,86,170,120
2022,5,May,52,28,112,80
2022,4,April,40,55,111,61
2022,3,March,82,54,94,54
2022,2,February,97,45,90,65
2022,1,January,94,43,91,126
2021,12,December,62,100,160,71
2021,11,November,36,15,47,3
2021,10,October,42,17,26,10
2021,9,September,38,23,72,45
2021,8,August,67,33,94,51
2021,7,July,23,23,85,72
2021,6,June,37,22,57,18
2021,5,May,39,26,69,42
2021,4,April,34,32,48,19
2021,3,March,52,79,31,27
2021,2,February,39,10,7,4
2021,1,January,31,10,13,14
2020,12,December,22,41,59,21
2020,11,November,38,37,51,34
2020,10,October,37,15,44,28
2020,9,September,12,19,47,31
2020,8,August,23,32,34,40
2020,7,July,21,11,24,32
2020,6,June,21,19,14,32
2020,5,May,4,1,6,8
2020,3,March,58,68,100,92
2020,2,February,87,98,145,170
2020,1,January,90,92,243,291
2019,12,December,124,168,416,212
2019,11,November,75,82,140,117
2019,10,October,63,57,153,155
2019,9,September,48,84,152,87
2019,8,August,110,120,174,246
2019,7,July,80,75,290,316
2019,6,June,50,77,323,171
2019,5,May,58,49,124,288
2019,4,April,55,59,157,153
2019,3,March,62,51,179,226
2019,2,February,64,54,139,125
2019,1,January,100,55,135,303
