Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,64,81,497,499
2025,7,July,36,46,584,687
2025,6,June,34,37,602,701
2025,5,May,44,56,827,998
2025,4,April,77,82,765,1029
2025,3,March,92,86,874,1208
2025,2,February,85,74,722,841
2025,1,January,45,71,374,432
2024,12,December,72,40,329,236
2024,11,November,34,25,141,197
2024,10,October,16,10,67,93
2024,9,September,22,22,55,177
2024,8,August,14,13,166,211
2024,7,July,23,21,207,343
2024,6,June,26,20,202,367
2024,5,May,50,38,405,504
2024,4,April,36,80,271,439
2024,3,March,46,55,435,447
2024,2,February,26,18,177,247
2024,1,January,45,41,260,372
2023,12,December,34,34,337,228
2023,11,November,34,21,239,132
2023,10,October,11,12,85,80
2023,9,September,17,11,97,164
2023,8,August,21,19,160,124
2023,7,July,9,17,168,218
2023,6,June,5,8,247,226
2023,5,May,29,34,296,288
2023,4,April,32,62,312,455
2023,3,March,20,31,326,286
2023,2,February,31,37,215,208
2023,1,January,23,22,255,329
2022,12,December,42,27,348,190
2022,11,November,30,7,128,139
2022,10,October,19,15,59,105
2022,9,September,9,9,45,69
2022,8,August,8,6,60,73
2022,7,July,4,13,213,221
2022,6,June,38,31,255,272
2022,5,May,8,24,309,271
2022,4,April,18,32,203,268
2022,3,March,33,37,284,382
2022,2,February,9,18,223,253
2022,1,January,26,34,149,207
2021,12,December,32,20,171,158
2021,11,November,19,6,162,212
2021,10,October,25,23,83,97
2021,9,September,7,1,62,44
2021,8,August,5,4,58,90
2021,7,July,19,14,176,229
2021,6,June,14,23,159,195
2021,5,May,6,7,215,215
2021,4,April,17,8,206,204
2021,3,March,7,7,187,212
2021,2,February,3,6,84,142
2021,1,January,68,22,104,237
2020,12,December,42,16,274,108
2020,11,November,9,14,85,41
2020,10,October,9,7,38,34
2020,9,September,5,10,40,47
2020,8,August,0,1,20,25
2020,7,July,8,15,103,94
2020,6,June,1,15,25,41
2020,5,May,1,4,24,14
2020,4,April,0,0,1,4
2020,3,March,33,57,174,270
2020,2,February,49,43,251,340
2020,1,January,35,64,284,456
2019,12,December,89,48,310,156
2019,11,November,28,24,156,217
2019,10,October,27,41,167,167
2019,9,September,78,22,286,403
2019,8,August,10,14,148,158
2019,7,July,9,20,150,123
2019,6,June,10,5,250,251
2019,5,May,7,15,224,173
2019,4,April,33,45,138,224
2019,3,March,23,9,293,444
2019,2,February,23,15,90,159
2019,1,January,0,0,35,0
