Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,5,May,0,0,6,0
2025,4,April,0,0,11,0
2025,3,March,0,1,5,0
2024,12,December,0,41,44,0
2024,10,October,0,0,5,0
2024,8,August,2,2,242,256
2024,6,June,0,0,12,0
2024,5,May,39,5,6,128
2024,3,March,0,0,4,0
2024,2,February,0,0,2,0
2023,12,December,0,35,26,0
2023,10,October,0,0,14,0
2023,7,July,0,0,4,0
2023,6,June,0,0,4,0
2023,4,April,0,0,8,0
2023,3,March,0,0,6,0
2023,2,February,0,0,6,0
2023,1,January,0,0,1,0
2022,12,December,0,9,1,0
2022,4,April,0,0,6,0
2022,3,March,0,0,6,0
2022,2,February,0,0,15,0
2022,1,January,0,0,4,0
2021,12,December,0,9,0,0
2021,11,November,0,0,5,0
2020,10,October,0,0,2,0
2020,2,February,0,0,4,0
2020,1,January,0,0,2,0
2019,12,December,0,0,2,0
2019,11,November,0,0,6,0
2019,9,September,0,6,1,0
2019,8,August,0,0,16,0
2019,7,July,0,0,17,0
2019,6,June,0,2,10,0
2019,5,May,0,0,7,0
2019,4,April,0,0,3,0
2019,3,March,0,0,2,0
