Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,37967,45828,29116,38694
2025,7,July,38781,34589,41849,48872
2025,6,June,25572,31385,45148,44869
2025,5,May,32654,39058,36277,30572
2025,4,April,54503,57106,22863,24434
2025,3,March,52339,56789,29643,32907
2025,2,February,48683,42997,21060,23426
2025,1,January,43489,50187,21079,35122
2024,12,December,52129,49217,37128,31234
2024,11,November,39483,44642,26781,27100
2024,10,October,30348,24796,18017,21368
2024,9,September,23257,25523,20666,24178
2024,8,August,33224,37036,23324,29862
2024,7,July,33940,29588,33157,36933
2024,6,June,22430,25376,36561,35082
2024,5,May,27604,31377,27268,24253
2024,4,April,43040,50845,19281,19810
2024,3,March,52857,49241,20831,21898
2024,2,February,42603,39301,13782,14886
2024,1,January,36529,41521,12992,20317
2023,12,December,41413,35733,21584,18080
2023,11,November,35775,36995,16976,19617
2023,10,October,30341,24100,16771,20731
2023,9,September,19672,19843,19674,19972
2023,8,August,27537,26620,17275,22618
2023,7,July,26731,21635,27693,32512
2023,6,June,18750,19474,32485,31462
2023,5,May,23153,24576,24451,21129
2023,4,April,41239,43626,17222,18060
2023,3,March,41701,39564,19684,20505
2023,2,February,34187,29619,12068,13244
2023,1,January,29482,33007,11809,17660
2022,12,December,35665,30587,17380,14369
2022,11,November,28844,30843,12704,15075
2022,10,October,27346,22766,11593,15143
2022,9,September,14751,16646,12215,13912
2022,8,August,23301,25315,12836,20530
2022,7,July,23120,19463,20744,25219
2022,6,June,14776,16749,21562,18473
2022,5,May,21246,25070,14992,12995
2022,4,April,26427,27047,10589,10511
2022,3,March,24816,23507,11623,11670
2022,2,February,15235,12680,6806,7231
2022,1,January,13198,15087,6823,10118
2021,12,December,18081,16248,10446,8349
2021,11,November,11768,8634,5407,6091
2021,10,October,5694,3525,3537,4062
2021,9,September,3233,2765,3062,3255
2021,8,August,4512,4146,3271,4283
2021,7,July,3692,2926,4374,4346
2021,6,June,1973,1426,3242,3276
2021,5,May,961,630,2479,2467
2021,4,April,712,561,1672,1909
2021,3,March,713,539,1835,1833
2021,2,February,727,448,961,1074
2021,1,January,3087,1510,1177,3480
2020,12,December,3470,4083,3382,3072
2020,11,November,1445,833,1474,1273
2020,10,October,808,196,110,327
2020,9,September,35,25,52,69
2020,8,August,34,23,72,128
2020,7,July,31,42,143,133
2020,6,June,4,3,44,46
2020,5,May,16,11,3,18
2020,4,April,7,9,0,8
2020,3,March,20960,35044,6921,8073
2020,2,February,44464,38619,11058,12181
2020,1,January,32071,36330,10138,15904
2019,12,December,39988,36861,17717,14884
2019,11,November,33062,34040,12480,13318
2019,10,October,28441,23067,12485,15006
2019,9,September,18546,18342,13894,16979
2019,8,August,27838,31480,16050,21564
2019,7,July,28709,23758,21846,27639
2019,6,June,20416,21886,26091,24860
2019,5,May,26269,32683,19115,17832
2019,4,April,44155,45896,13547,15006
2019,3,March,45733,46942,17152,18922
2019,2,February,40221,34854,9931,11376
2019,1,January,32766,34511,9227,14844
