Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,4,0
2023,10,October,0,8,5,0
2023,6,June,0,0,4,0
2023,5,May,0,0,4,0
2022,11,November,0,9,0,0
2022,10,October,0,0,4,0
2022,7,July,0,7,0,0
2022,6,June,0,0,8,0
2022,5,May,0,0,2,0
2021,7,July,0,0,17,0
2021,6,June,0,0,4,0
2021,5,May,0,0,2,0
2020,2,February,0,0,6,0
2019,11,November,0,5,1,0
2019,10,October,0,8,1,0
2019,8,August,0,0,6,0
2019,6,June,0,8,1,0
2019,5,May,0,9,0,0
2019,2,February,0,0,2,0
