Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,943,959,884,1005
2025,7,July,824,789,1037,1241
2025,6,June,961,1109,1636,1385
2025,5,May,1175,1309,1044,1154
2025,4,April,906,815,1452,1417
2025,3,March,826,833,1567,1655
2025,2,February,726,694,1447,1600
2025,1,January,797,637,1170,2790
2024,12,December,1148,1319,2012,1391
2024,11,November,1208,1310,1739,1414
2024,10,October,1358,1278,1110,1073
2024,9,September,1491,1496,983,1174
2024,8,August,761,702,824,920
2024,7,July,684,779,912,926
2024,6,June,1042,1001,1451,1206
2024,5,May,1211,1311,1293,1307
2024,4,April,808,863,1128,1180
2024,3,March,864,784,1087,1259
2024,2,February,857,688,1293,1180
2024,1,January,854,674,1055,2546
2023,12,December,1045,1207,2059,1008
2023,11,November,1200,1122,1157,1182
2023,10,October,1033,1259,1074,1176
2023,9,September,1482,1213,1123,1151
2023,8,August,744,757,974,857
2023,7,July,700,721,849,1025
2023,6,June,1048,1220,1676,1449
2023,5,May,1130,1226,1280,1111
2023,4,April,985,1015,1171,1546
2023,3,March,865,770,1180,1094
2023,2,February,634,765,1205,1112
2023,1,January,746,592,1084,2293
2022,12,December,937,1172,2152,1022
2022,11,November,1230,1208,1400,1316
2022,10,October,1242,1155,961,1076
2022,9,September,1468,1393,998,1103
2022,8,August,628,598,802,781
2022,7,July,675,568,786,872
2022,6,June,973,989,1337,1104
2022,5,May,1139,1171,1251,1203
2022,4,April,845,903,1340,1256
2022,3,March,773,752,1429,1551
2022,2,February,590,585,1144,1331
2022,1,January,529,426,875,2280
2021,12,December,804,950,2346,1058
2021,11,November,1070,995,1322,1216
2021,10,October,938,882,864,996
2021,9,September,985,804,687,736
2021,8,August,632,675,707,779
2021,7,July,532,556,751,731
2021,6,June,413,327,839,682
2021,5,May,432,513,654,650
2021,4,April,286,281,523,977
2021,3,March,214,228,920,670
2021,2,February,160,145,408,411
2021,1,January,223,110,373,1120
2020,12,December,180,267,1113,535
2020,11,November,207,233,474,326
2020,10,October,218,230,243,236
2020,9,September,214,175,171,197
2020,8,August,164,129,272,225
2020,7,July,71,106,286,177
2020,6,June,97,94,103,152
2020,5,May,51,60,49,43
2020,4,April,19,28,24,10
2020,3,March,362,554,682,582
2020,2,February,751,844,1254,1328
2020,1,January,685,638,1142,2090
2019,12,December,1026,1105,1780,1438
2019,11,November,989,1189,1278,1070
2019,10,October,1191,1163,938,1116
2019,9,September,1348,1210,922,1198
2019,8,August,769,683,841,895
2019,7,July,758,720,956,977
2019,6,June,824,997,1441,1177
2019,5,May,1076,1063,1435,1206
2019,4,April,911,925,1036,1148
2019,3,March,661,733,1251,1481
2019,2,February,639,701,1219,1206
2019,1,January,793,659,997,1792
