Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2022,8,August,0,2,0,0
2022,6,June,0,4,0,0
2022,3,March,0,5,0,0
2022,2,February,0,3,0,0
2022,1,January,0,4,0,0
2021,12,December,0,11,0,0
2021,11,November,0,2,0,0
2021,9,September,0,8,0,0
2021,6,June,0,18,0,0
2021,1,January,0,6,0,0
2020,12,December,0,15,0,0
2020,10,October,0,7,0,0
2020,8,August,0,13,1,0
2020,5,May,0,0,1,0
2020,3,March,0,4,0,0
2020,2,February,0,4,1,0
2020,1,January,0,8,0,0
2019,12,December,0,2,0,0
2019,9,September,0,4,0,0
2019,8,August,0,5,0,0
2019,5,May,0,14,0,0
2019,4,April,0,11,0,0
2019,3,March,0,11,0,0
2019,2,February,0,4,0,0
2019,1,January,0,7,0,0
