Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,28,0,0
2025,6,June,0,0,2,0
2025,3,March,0,0,14,0
2024,12,December,0,0,0,4
2024,11,November,0,0,0,8
2024,6,June,0,0,6,0
2024,5,May,0,0,4,4
2024,3,March,0,0,16,0
2024,2,February,0,9,1224,0
2023,12,December,0,0,8,0
2023,11,November,0,0,2,0
2023,10,October,0,0,32,0
2023,8,August,0,0,0,1
2023,7,July,0,0,5,3
2023,6,June,0,0,3,0
2023,5,May,0,0,1,0
2023,2,February,0,3,1150,0
2022,12,December,0,0,4,0
2022,11,November,0,0,110,217
2022,5,May,0,2,0,0
2022,3,March,0,0,8,0
2021,12,December,0,0,7,0
2021,10,October,0,0,4,0
2021,8,August,0,0,4,0
2021,7,July,0,0,2,0
2021,3,March,0,1,7,0
2020,2,February,1,2,894,671
2019,10,October,0,0,4,1
2019,9,September,0,0,0,1
2019,7,July,0,0,13,8
2019,6,June,0,0,0,8
2019,4,April,0,0,6,0
2019,2,February,0,0,777,0
2019,1,January,0,0,1,0
