Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,33,64,8,15
2025,7,July,74,97,5,21
2025,6,June,18,8,1,3
2025,5,May,13,20,7,13
2025,4,April,50,110,10,20
2025,3,March,106,147,18,11
2025,2,February,76,133,12,18
2025,1,January,121,199,30,27
2024,12,December,313,116,17,34
2024,11,November,6,6,6,7
2024,10,October,8,25,8,0
2024,9,September,27,32,5,8
2024,8,August,71,94,16,7
2024,7,July,67,85,7,10
2024,6,June,67,26,0,2
2024,5,May,21,30,1,32
2024,4,April,26,98,27,2
2024,3,March,218,184,6,45
2024,2,February,190,102,15,15
2024,1,January,80,153,37,48
2023,12,December,98,25,6,70
2023,11,November,6,9,0,5
2023,10,October,22,12,4,2
2023,9,September,52,37,24,13
2023,8,August,88,103,3,9
2023,7,July,101,54,1,12
2023,6,June,51,24,10,4
2023,5,May,11,10,0,4
2023,4,April,124,132,9,8
2023,3,March,173,147,24,22
2023,2,February,131,108,21,3
2023,1,January,94,96,23,6
2022,12,December,170,106,15,10
2022,11,November,163,5,0,15
2022,10,October,11,11,5,8
2022,9,September,12,9,4,11
2022,8,August,79,97,0,0
2022,7,July,123,84,7,2
2022,6,June,50,12,3,12
2022,5,May,7,5,0,2
2022,4,April,85,89,13,12
2022,3,March,155,118,17,36
2022,2,February,100,89,5,9
2022,1,January,117,190,17,9
2021,12,December,124,46,1,51
2021,11,November,109,20,0,13
2021,10,October,5,12,4,15
2021,9,September,33,32,0,0
2021,8,August,26,80,8,10
2021,7,July,137,69,2,5
2021,6,June,56,23,9,16
2021,5,May,6,6,1,3
2021,4,April,28,157,12,9
2021,3,March,139,51,17,13
2021,2,February,55,42,7,20
2021,1,January,97,174,14,24
2020,12,December,124,65,3,18
2020,11,November,22,0,5,9
2020,10,October,4,26,7,20
2020,9,September,59,41,3,0
2020,8,August,52,64,5,4
2020,7,July,123,49,11,26
2020,6,June,34,2,0,5
2020,5,May,21,10,2,3
2020,4,April,0,2,0,6
2020,3,March,17,30,7,17
2020,2,February,143,117,9,6
2020,1,January,56,138,36,19
2019,12,December,249,46,25,35
2019,11,November,6,2,8,2
2019,10,October,0,4,8,9
2019,9,September,12,8,1,5
2019,8,August,26,42,12,14
2019,7,July,101,21,5,12
2019,6,June,62,8,2,20
2019,5,May,7,7,3,3
2019,4,April,24,19,7,7
2019,3,March,114,123,33,31
2019,2,February,85,61,11,17
2019,1,January,78,77,21,20
