Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2024,10,October,0,0,1,0
2024,7,July,0,0,6,0
2024,4,April,0,0,18,0
2024,2,February,0,0,6,0
2024,1,January,0,0,1,0
2023,9,September,0,0,0,3
2023,7,July,0,0,3,0
2023,6,June,0,0,2,0
2023,5,May,0,2,1,0
2023,4,April,0,0,2,0
2023,3,March,0,0,10,0
2023,2,February,0,0,7,0
2023,1,January,0,0,4,0
2022,7,July,0,0,0,3
2021,12,December,0,0,5,0
2021,9,September,0,0,12,0
2021,7,July,0,0,4,0
2021,4,April,0,35,0,0
2020,1,January,0,0,2,0
2019,9,September,0,35,0,0
2019,2,February,0,0,0,2
