Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,111,128,378,254
2025,7,July,92,108,324,233
2025,6,June,59,94,432,235
2025,5,May,114,125,613,472
2025,4,April,93,117,474,386
2025,3,March,71,81,541,308
2025,2,February,97,113,458,281
2025,1,January,94,85,443,628
2024,12,December,58,113,828,443
2024,11,November,128,260,673,428
2024,10,October,154,178,382,222
2024,9,September,84,151,378,282
2024,8,August,91,84,368,280
2024,7,July,73,79,405,306
2024,6,June,79,130,320,245
2024,5,May,116,216,567,369
2024,4,April,93,163,533,321
2024,3,March,49,131,585,328
2024,2,February,142,162,478,326
2024,1,January,95,144,456,736
2023,12,December,80,144,801,322
2023,11,November,107,140,580,388
2023,10,October,69,149,258,140
2023,9,September,73,70,242,146
2023,8,August,60,56,296,274
2023,7,July,95,98,360,172
2023,6,June,102,151,431,214
2023,5,May,119,245,608,388
2023,4,April,100,88,616,574
2023,3,March,102,119,615,268
2023,2,February,113,134,494,415
2023,1,January,136,108,503,847
2022,12,December,75,116,934,375
2022,11,November,115,145,548,385
2022,10,October,79,117,445,430
2022,9,September,83,140,387,281
2022,8,August,96,190,384,356
2022,7,July,157,135,474,401
2022,6,June,97,191,500,356
2022,5,May,89,143,563,466
2022,4,April,118,128,652,633
2022,3,March,112,147,733,509
2022,2,February,151,201,531,398
2022,1,January,126,127,611,826
2021,12,December,60,117,927,382
2021,11,November,146,138,693,517
2021,10,October,103,98,467,355
2021,9,September,87,130,346,291
2021,8,August,97,120,320,309
2021,7,July,50,65,402,358
2021,6,June,41,71,471,444
2021,5,May,64,77,586,694
2021,4,April,62,63,505,500
2021,3,March,45,77,617,384
2021,2,February,37,48,305,245
2021,1,January,65,23,341,609
2020,12,December,59,91,563,391
2020,11,November,74,70,555,421
2020,10,October,37,78,457,371
2020,9,September,31,59,258,225
2020,8,August,38,43,279,312
2020,7,July,23,31,242,217
2020,6,June,13,22,184,71
2020,5,May,0,3,19,24
2020,4,April,9,2,32,34
2020,3,March,43,90,250,236
2020,2,February,113,167,404,420
2020,1,January,110,91,364,984
2019,12,December,82,148,715,404
2019,11,November,95,138,486,383
2019,10,October,107,74,346,241
2019,9,September,89,90,270,328
2019,8,August,80,137,450,302
2019,7,July,62,61,309,219
2019,6,June,104,97,316,263
2019,5,May,51,108,410,307
2019,4,April,59,77,424,497
2019,3,March,60,95,488,262
2019,2,February,78,114,317,304
2019,1,January,151,129,405,724
