Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,5,May,1,0,2,0
2025,4,April,16,0,0,0
2025,3,March,14,2,0,0
2025,2,February,5,0,0,1
2025,1,January,4,0,0,0
2024,12,December,8,0,0,0
2024,11,November,6,0,0,1
2024,10,October,6,0,0,0
2024,8,August,0,1,0,0
2024,7,July,0,2,0,0
2024,3,March,0,1,0,0
2024,2,February,0,4,0,0
2023,11,November,0,1,18,3
2023,10,October,0,5,0,0
2023,6,June,6,0,0,0
2023,5,May,3,0,0,0
2023,3,March,0,4,0,1
2023,2,February,0,1,0,0
2023,1,January,1,0,0,0
2022,10,October,1,20,0,0
2022,2,February,0,0,2,0
2022,1,January,0,2,0,0
2021,12,December,0,0,2,0
2021,11,November,0,2,2,0
2021,7,July,0,3,0,0
2021,6,June,0,4,0,0
2021,5,May,0,0,3,0
2021,2,February,0,1,1,0
2020,12,December,3,0,0,0
2020,9,September,4,0,0,0
2020,8,August,1,0,0,0
2020,7,July,12,0,0,0
2020,4,April,6,0,0,0
2020,3,March,0,1,0,0
2020,2,February,0,0,1,0
2020,1,January,0,0,0,6
2019,12,December,0,18,1,0
2019,11,November,1,2,0,0
2019,10,October,0,17,0,0
2019,7,July,0,25,0,0
2019,3,March,0,0,9,0
2019,2,February,0,0,5,0
