Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,168,127,240,326
2025,7,July,94,73,282,404
2025,6,June,62,35,173,229
2025,5,May,34,14,61,85
2025,4,April,12,8,19,28
2025,3,March,2,2,12,25
2025,2,February,6,0,23,43
2025,1,January,10,6,7,69
2024,12,December,7,4,101,44
2024,11,November,17,20,33,50
2024,10,October,14,9,37,43
2024,9,September,24,40,89,61
2024,8,August,115,61,173,280
2024,7,July,80,53,218,485
2024,6,June,71,56,176,283
2024,5,May,44,19,51,101
2024,4,April,10,3,18,66
2024,3,March,8,2,14,21
2024,2,February,8,3,10,38
2024,1,January,23,10,15,76
2023,12,December,5,11,98,32
2023,11,November,9,5,25,54
2023,10,October,4,8,43,46
2023,9,September,36,43,47,114
2023,8,August,175,128,288,416
2023,7,July,192,161,330,484
2023,6,June,64,22,199,288
2023,5,May,24,27,28,50
2023,4,April,3,7,35,40
2023,3,March,4,0,25,31
2023,2,February,4,2,17,30
2023,1,January,3,0,9,24
2022,12,December,2,5,74,88
2022,11,November,0,5,69,28
2022,10,October,30,25,41,47
2022,9,September,32,61,106,115
2022,8,August,120,116,243,331
2022,7,July,118,85,281,481
2022,6,June,54,37,185,249
2022,5,May,24,35,47,45
2022,4,April,11,10,10,44
2022,3,March,3,3,6,14
2022,2,February,0,1,11,18
2022,1,January,6,3,3,83
2021,12,December,5,4,78,55
2021,11,November,17,9,33,81
2021,10,October,18,7,31,37
2021,9,September,31,52,40,79
2021,8,August,108,85,188,256
2021,7,July,60,46,195,304
2021,6,June,35,15,120,158
2021,5,May,47,19,38,83
2021,4,April,14,0,20,96
2021,3,March,0,2,64,63
2021,2,February,0,1,38,30
2021,1,January,37,2,27,224
2020,12,December,12,17,201,116
2020,11,November,9,4,75,47
2020,10,October,7,13,29,26
2020,9,September,16,13,23,28
2020,8,August,17,33,65,64
2020,7,July,17,37,73,76
2020,6,June,13,15,18,62
2020,5,May,5,11,5,3
2020,4,April,3,2,0,24
2020,3,March,10,1,5,47
2020,2,February,2,3,3,14
2020,1,January,1,0,2,28
2019,12,December,0,1,62,14
2019,11,November,13,10,48,8
2019,10,October,0,4,4,17
2019,9,September,38,33,43,33
2019,8,August,76,76,150,235
2019,7,July,68,62,151,221
2019,6,June,23,17,48,93
2019,5,May,5,9,40,74
2019,4,April,2,3,11,4
2019,3,March,2,0,0,7
2019,2,February,0,0,7,22
2019,1,January,0,0,2,20
