Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,600,931,1140,1686
2025,7,July,343,363,1599,1874
2025,6,June,434,372,1615,2009
2025,5,May,603,518,1715,1734
2025,4,April,4380,5594,2384,2402
2025,3,March,8164,9831,3449,3369
2025,2,February,8170,7398,2269,2331
2025,1,January,7274,8803,2537,4034
2024,12,December,10231,6921,4004,3807
2024,11,November,5816,4867,2722,2778
2024,10,October,899,655,850,1096
2024,9,September,450,643,638,988
2024,8,August,939,1068,1445,1973
2024,7,July,517,604,1879,2398
2024,6,June,461,508,2472,3019
2024,5,May,553,678,2681,2898
2024,4,April,3805,5093,3427,3847
2024,3,March,5728,6195,4261,4095
2024,2,February,5128,4787,2311,2663
2024,1,January,5124,5598,2340,3497
2023,12,December,5605,4384,2777,2638
2023,11,November,4599,3829,2341,2522
2023,10,October,862,723,812,1106
2023,9,September,334,563,652,811
2023,8,August,536,756,893,1202
2023,7,July,318,364,1567,1935
2023,6,June,369,420,1902,2174
2023,5,May,477,583,2263,2184
2023,4,April,3963,4907,2816,3131
2023,3,March,5142,5467,3488,3500
2023,2,February,4799,4122,2398,2663
2023,1,January,5107,5859,2410,3247
2022,12,December,6289,4408,2844,2670
2022,11,November,4273,3827,2200,2474
2022,10,October,503,522,805,919
2022,9,September,273,387,631,740
2022,8,August,404,616,911,1513
2022,7,July,426,583,1370,2135
2022,6,June,431,563,1091,1613
2022,5,May,589,760,1258,2351
2022,4,April,3336,4960,2160,2347
2022,3,March,4185,4571,2623,2995
2022,2,February,2469,2041,1417,1894
2022,1,January,1687,2368,1226,2142
2021,12,December,3476,1943,1735,1839
2021,11,November,528,680,1112,1293
2021,10,October,383,516,561,730
2021,9,September,227,345,338,442
2021,8,August,371,409,484,791
2021,7,July,303,598,718,1395
2021,6,June,205,438,885,1420
2021,5,May,404,659,1130,1555
2021,4,April,454,379,1166,1580
2021,3,March,277,274,1006,1418
2021,2,February,217,235,665,760
2021,1,January,847,499,568,1274
2020,12,December,690,249,648,540
2020,11,November,282,143,372,461
2020,10,October,262,79,161,265
2020,9,September,108,66,228,247
2020,8,August,113,33,136,285
2020,7,July,148,180,546,604
2020,6,June,40,102,163,144
2020,5,May,13,70,11,44
2020,4,April,4,91,19,20
2020,3,March,4923,7872,2222,2013
2020,2,February,10801,9122,3628,2984
2020,1,January,7426,9424,3492,2685
2019,12,December,8970,5223,2625,2534
2019,11,November,4960,3798,1866,1839
2019,10,October,807,377,782,923
2019,9,September,740,228,1003,1400
2019,8,August,814,967,1096,1638
2019,7,July,721,528,2189,2945
2019,6,June,395,446,2408,2808
2019,5,May,502,681,2456,2487
2019,4,April,4679,5940,3758,3694
2019,3,March,7927,8369,4075,4046
2019,2,February,10593,8828,4170,4162
2019,1,January,8565,8558,4350,4943
