Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,4,0,0
2025,7,July,0,0,2,2
2025,6,June,1,0,14,1
2025,5,May,2,6,1,2
2025,4,April,0,0,3,0
2025,3,March,1,3,19,2
2025,2,February,0,4,1,0
2025,1,January,0,3,0,0
2024,12,December,0,6,0,0
2024,11,November,0,1,3,0
2024,10,October,0,0,0,4
2024,9,September,0,2,4,0
2024,8,August,0,11,0,0
2024,7,July,0,5,4,0
2024,6,June,0,0,14,9
2024,5,May,0,0,3,5
2024,4,April,0,0,0,2
2024,3,March,0,0,1,0
2024,2,February,0,0,5,10
2024,1,January,0,4,0,2
2023,12,December,0,0,8,0
2023,11,November,0,0,0,1
2023,10,October,0,4,28,0
2023,9,September,0,2,13,10
2023,8,August,0,0,15,0
2023,7,July,0,1,9,0
2023,6,June,0,0,20,3
2023,5,May,0,1,4,1
2023,4,April,0,3,1,3
2023,3,March,2,0,30,24
2023,2,February,5,0,9,18
2023,1,January,0,0,13,21
2022,12,December,0,2,8,3
2022,10,October,0,0,10,0
2022,9,September,0,0,3,0
2022,8,August,0,3,23,2
2022,7,July,0,1,16,1
2022,6,June,0,0,15,12
2022,4,April,2,0,2,0
2022,3,March,0,0,14,10
2022,2,February,0,1,9,0
2022,1,January,0,0,16,0
2021,10,October,4,6,1,0
2021,9,September,6,0,2,3
2021,8,August,0,2,4,0
2021,7,July,2,10,1,0
2021,6,June,0,4,0,0
2021,5,May,0,0,0,2
2021,4,April,0,3,0,0
2021,3,March,0,0,0,2
2021,2,February,0,0,7,1
2020,12,December,0,0,15,0
2020,10,October,0,2,7,2
2020,9,September,0,0,2,2
2020,5,May,0,1,0,0
2020,4,April,0,1,1,0
2020,3,March,0,0,10,0
2020,1,January,0,2,1,9
2019,12,December,0,0,20,1
2019,11,November,0,6,0,0
2019,10,October,0,0,4,3
2019,9,September,0,0,16,12
2019,7,July,0,0,2,3
2019,6,June,0,0,41,21
2019,5,May,0,0,1,0
2019,4,April,0,2,0,7
2019,3,March,2,3,1,0
2019,2,February,2,2,9,14
2019,1,January,0,0,0,7
