Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,24,16,35,39
2025,7,July,20,13,78,75
2025,6,June,6,5,16,55
2025,5,May,10,4,2,12
2025,4,April,1,0,7,6
2025,3,March,0,0,11,38
2025,2,February,4,0,22,40
2025,1,January,1,1,20,44
2024,12,December,2,0,27,6
2024,11,November,1,1,8,28
2024,10,October,0,3,12,4
2024,9,September,10,5,3,42
2024,8,August,23,15,47,70
2024,7,July,5,10,59,71
2024,6,June,7,4,43,43
2024,5,May,9,0,11,20
2024,4,April,0,0,3,2
2024,3,March,0,0,12,11
2024,2,February,0,6,2,4
2024,1,January,4,1,7,52
2023,12,December,0,2,28,11
2023,11,November,1,5,13,7
2023,10,October,0,0,4,8
2023,9,September,2,0,2,4
2023,8,August,44,34,54,88
2023,7,July,24,6,44,125
2023,6,June,8,11,9,52
2023,5,May,8,0,8,19
2023,4,April,0,0,5,5
2023,3,March,0,0,10,2
2023,2,February,0,1,17,18
2023,1,January,3,0,3,52
2022,12,December,3,2,51,40
2022,11,November,0,2,5,44
2022,10,October,9,0,7,32
2022,9,September,5,9,43,42
2022,8,August,11,22,83,109
2022,7,July,29,13,100,75
2022,6,June,8,8,30,41
2022,5,May,5,8,4,32
2022,4,April,3,0,9,2
2022,3,March,3,3,3,5
2022,2,February,2,4,28,13
2022,1,January,8,1,9,43
2021,12,December,2,1,32,17
2021,11,November,5,8,23,27
2021,10,October,2,5,4,10
2021,9,September,6,12,14,20
2021,8,August,19,25,37,72
2021,7,July,13,10,86,93
2021,6,June,14,10,61,44
2021,5,May,4,0,22,45
2021,4,April,6,0,12,53
2021,3,March,0,1,65,31
2021,2,February,0,0,10,15
2021,1,January,1,0,16,95
2020,12,December,3,4,94,42
2020,11,November,2,0,4,11
2020,10,October,3,10,16,5
2020,9,September,1,3,9,4
2020,8,August,13,7,22,27
2020,7,July,5,17,11,30
2020,6,June,8,0,2,2
2020,5,May,5,2,13,19
2020,3,March,2,0,8,29
2020,2,February,0,12,8,4
2020,1,January,0,0,5,8
2019,12,December,0,1,17,19
2019,11,November,2,0,0,5
2019,10,October,0,0,2,12
2019,9,September,2,14,3,26
2019,8,August,45,30,88,98
2019,7,July,3,5,56,89
2019,6,June,12,9,44,57
2019,5,May,13,8,0,44
2019,4,April,0,0,6,6
2019,3,March,2,0,12,19
2019,2,February,0,0,19,12
2019,1,January,0,1,7,11
