Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,47,35,49,145
2025,7,July,13,18,48,38
2025,6,June,9,30,118,58
2025,5,May,13,29,44,30
2025,4,April,25,26,60,44
2025,3,March,6,14,116,137
2025,2,February,8,31,77,43
2025,1,January,28,18,114,63
2024,12,December,26,31,85,61
2024,11,November,26,35,33,18
2024,10,October,35,37,65,37
2024,9,September,19,27,78,46
2024,8,August,16,27,103,92
2024,7,July,9,7,37,28
2024,6,June,18,23,57,49
2024,5,May,19,25,87,67
2024,4,April,10,17,64,68
2024,3,March,25,20,113,49
2024,2,February,3,20,51,49
2024,1,January,29,17,83,84
2023,12,December,19,16,80,25
2023,11,November,24,50,33,21
2023,10,October,40,35,76,65
2023,9,September,12,17,41,47
2023,8,August,30,18,76,90
2023,7,July,38,26,21,23
2023,6,June,35,55,86,82
2023,5,May,32,48,62,35
2023,4,April,20,24,86,85
2023,3,March,55,96,88,81
2023,2,February,27,35,110,64
2023,1,January,43,43,112,122
2022,12,December,18,30,30,20
2022,11,November,15,11,45,28
2022,10,October,15,9,62,55
2022,9,September,11,22,57,33
2022,8,August,9,38,57,50
2022,7,July,29,9,61,54
2022,6,June,22,34,163,123
2022,5,May,21,26,103,115
2022,4,April,41,28,93,72
2022,3,March,24,24,83,61
2022,2,February,20,19,44,63
2022,1,January,4,5,64,44
2021,12,December,16,22,42,29
2021,11,November,25,9,41,40
2021,10,October,36,21,23,27
2021,9,September,17,13,15,15
2021,8,August,24,11,32,49
2021,7,July,9,15,74,12
2021,6,June,10,9,28,46
2021,5,May,22,21,60,83
2021,4,April,17,16,31,20
2021,3,March,34,5,61,58
2021,2,February,8,18,31,14
2021,1,January,33,3,72,96
2020,12,December,37,30,57,28
2020,11,November,13,20,22,29
2020,10,October,21,23,18,18
2020,9,September,9,0,0,3
2020,8,August,23,11,4,9
2020,7,July,18,15,27,4
2020,6,June,11,9,0,4
2020,5,May,1,4,2,5
2020,4,April,3,1,11,0
2020,3,March,7,13,103,48
2020,2,February,18,39,48,61
2020,1,January,12,14,89,105
2019,12,December,9,43,75,35
2019,11,November,22,32,52,52
2019,10,October,40,88,90,44
2019,9,September,9,10,36,32
2019,8,August,15,23,85,79
2019,7,July,20,54,64,39
2019,6,June,26,31,84,63
2019,5,May,30,42,66,67
2019,4,April,30,21,36,48
2019,3,March,16,20,142,42
2019,2,February,18,29,76,34
2019,1,January,10,9,33,15
