Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2023,8,August,0,0,1,0
2023,5,May,0,0,2,0
2022,12,December,0,0,9,0
2020,2,February,2,2,0,0
2020,1,January,10,6,1,3
2019,12,December,6,0,0,0
2019,11,November,5,2,0,0
2019,10,October,12,9,6,17
2019,9,September,8,15,3,27
2019,8,August,43,25,16,36
2019,7,July,24,11,13,10
2019,6,June,15,18,9,20
2019,5,May,10,10,3,2
2019,4,April,3,5,6,8
2019,3,March,11,23,5,5
2019,2,February,5,3,0,0
2019,1,January,3,3,0,5
