Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,53,46,57,65
2025,7,July,36,30,50,46
2025,6,June,20,23,49,49
2025,5,May,45,49,55,72
2025,4,April,68,64,73,75
2025,3,March,80,91,56,91
2025,2,February,72,75,58,66
2025,1,January,66,71,31,58
2024,12,December,70,65,62,47
2024,11,November,98,101,78,79
2024,10,October,147,124,75,39
2024,9,September,232,183,51,41
2024,8,August,79,77,51,77
2024,7,July,31,32,84,61
2024,6,June,90,109,56,72
2024,5,May,75,82,47,87
2024,4,April,60,61,54,67
2024,3,March,46,48,72,73
2024,2,February,108,115,67,69
2024,1,January,65,59,50,76
2023,12,December,55,51,43,28
2023,11,November,97,112,62,42
2023,10,October,87,91,49,35
2023,9,September,172,171,53,68
2023,8,August,81,83,78,67
2023,7,July,35,42,23,34
2023,6,June,79,77,80,54
2023,5,May,85,80,69,80
2023,4,April,30,46,103,87
2023,3,March,145,147,51,46
2023,2,February,47,54,55,61
2023,1,January,24,27,19,33
2022,12,December,46,37,64,52
2022,11,November,61,95,91,56
2022,10,October,56,58,71,78
2022,9,September,26,32,36,39
2022,8,August,26,30,44,41
2022,7,July,22,31,72,53
2022,6,June,6,6,50,41
2022,5,May,9,7,64,43
2022,4,April,15,23,17,14
2022,3,March,8,15,34,37
2022,2,February,13,18,7,9
2022,1,January,4,5,3,9
2021,12,December,15,8,14,16
2021,11,November,31,21,41,32
2021,10,October,26,23,24,43
2021,9,September,7,12,28,31
2021,8,August,37,6,21,12
2021,7,July,4,4,24,8
2021,6,June,6,10,13,15
2021,5,May,1,2,2,3
2021,4,April,2,5,5,16
2021,3,March,14,5,3,16
2021,2,February,0,2,18,5
2021,1,January,6,2,2,11
2020,12,December,0,25,17,3
2020,11,November,2,8,5,6
2020,10,October,1,4,3,9
2020,9,September,9,30,6,15
2020,8,August,8,9,8,19
2020,7,July,11,5,1,6
2020,6,June,2,16,5,2
2020,5,May,1,22,1,0
2020,3,March,36,34,16,35
2020,2,February,187,179,163,154
2020,1,January,184,169,173,163
2019,12,December,177,155,115,114
2019,11,November,182,175,193,186
2019,10,October,286,281,155,144
2019,9,September,213,173,175,200
2019,8,August,89,68,110,105
2019,7,July,144,146,81,81
2019,6,June,172,157,194,185
2019,5,May,266,246,181,169
2019,4,April,169,162,173,175
2019,3,March,168,182,93,104
2019,2,February,171,164,121,120
2019,1,January,220,208,142,155
