Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,2,3,18,14
2025,7,July,0,0,14,0
2025,6,June,0,3,29,0
2025,5,May,1,5,16,12
2025,4,April,6,7,9,4
2025,3,March,1,1,40,22
2025,2,February,0,0,24,18
2025,1,January,8,10,11,10
2024,12,December,0,7,44,0
2024,11,November,7,7,8,8
2024,10,October,0,0,3,0
2024,9,September,0,9,12,2
2024,8,August,0,0,1,0
2024,7,July,5,6,4,0
2024,6,June,13,3,3,0
2024,5,May,4,4,1,0
2024,4,April,5,14,7,0
2024,3,March,6,14,28,0
2024,2,February,0,1,7,16
2024,1,January,0,0,7,11
2023,12,December,6,6,30,0
2023,11,November,0,11,26,2
2023,10,October,0,10,10,1
2023,9,September,0,0,5,0
2023,8,August,0,4,36,16
2023,7,July,11,14,34,1
2023,6,June,5,0,15,5
2023,5,May,0,0,4,0
2023,4,April,0,12,35,10
2023,3,March,0,10,20,3
2023,2,February,7,6,20,7
2023,1,January,0,5,6,11
2022,12,December,1,0,24,10
2022,11,November,0,5,0,0
2022,10,October,6,15,9,0
2022,9,September,0,3,11,0
2022,8,August,6,6,0,4
2022,7,July,0,0,37,18
2022,6,June,0,0,20,0
2022,5,May,3,9,11,0
2022,4,April,0,18,9,18
2022,3,March,8,4,34,9
2022,2,February,0,0,11,26
2022,1,January,0,1,13,10
2021,12,December,6,7,32,0
2021,11,November,0,8,15,28
2021,10,October,0,1,6,9
2021,8,August,0,0,11,2
2021,7,July,0,0,12,0
2021,6,June,0,17,13,8
2021,5,May,0,1,11,0
2021,4,April,0,0,8,18
2021,3,March,0,0,10,6
2021,2,February,0,0,10,18
2021,1,January,13,5,9,21
2020,12,December,0,0,6,0
2020,10,October,0,5,0,0
2020,8,August,0,0,0,1
2020,7,July,0,0,1,0
2020,4,April,0,0,0,11
2020,3,March,0,2,7,10
2020,2,February,0,0,15,2
2020,1,January,2,0,13,18
2019,12,December,10,10,19,4
2019,11,November,0,0,6,0
2019,10,October,2,0,8,0
2019,9,September,1,1,28,12
2019,7,July,0,2,16,8
2019,6,June,0,2,5,2
2019,5,May,0,3,9,1
2019,4,April,0,0,14,2
2019,3,March,1,2,7,13
2019,2,February,0,0,18,27
2019,1,January,2,0,0,21
