Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,2,2,0,0
2025,6,June,0,0,0,11
2025,5,May,0,0,10,0
2025,3,March,0,0,0,7
2025,1,January,0,0,28,0
2024,11,November,10,8,2,2
2024,7,July,0,0,22,16
2024,4,April,2,0,0,0
2024,2,February,0,0,0,5
2023,10,October,0,0,1,0
2023,2,February,0,0,0,1
2023,1,January,0,0,5,0
2022,12,December,10,10,0,6
2022,11,November,0,2,0,0
2022,9,September,0,0,0,2
2022,8,August,1,1,0,0
2022,5,May,0,0,8,0
2022,2,February,3,3,0,0
2021,10,October,0,0,0,1
2021,6,June,0,0,8,0
2021,4,April,0,0,8,0
2020,12,December,1,0,3,1
2020,9,September,0,0,0,2
2020,3,March,0,0,0,4
2020,2,February,0,0,4,4
2019,12,December,0,2,1,2
2019,11,November,0,5,21,7
2019,10,October,0,0,4,4
2019,9,September,0,0,4,3
2019,8,August,0,5,10,9
2019,7,July,0,0,8,8
2019,6,June,0,0,6,3
2019,5,May,0,5,2,2
2019,4,April,0,0,11,5
2019,3,March,0,0,0,5
2019,2,February,0,0,6,0
2019,1,January,0,0,12,10
