Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,2,2,11,6
2025,7,July,0,0,7,0
2025,6,June,0,3,11,0
2025,5,May,8,8,16,28
2025,4,April,0,1,3,3
2025,3,March,2,2,7,0
2025,2,February,6,6,6,0
2025,1,January,6,4,4,6
2024,12,December,0,2,6,0
2024,11,November,3,4,19,8
2024,10,October,2,0,6,4
2024,9,September,6,6,16,10
2024,8,August,1,1,12,4
2024,7,July,0,0,0,3
2024,6,June,8,6,2,0
2024,5,May,0,0,3,4
2024,3,March,2,8,9,0
2024,2,February,1,1,0,0
2024,1,January,0,6,6,0
2023,12,December,0,4,9,3
2023,11,November,0,9,9,9
2023,10,October,2,4,0,1
2023,9,September,0,0,0,2
2023,8,August,1,1,0,0
2023,7,July,5,0,0,0
2023,6,June,1,2,8,1
2023,5,May,0,2,5,9
2023,4,April,1,1,3,3
2023,3,March,4,5,9,0
2023,2,February,0,0,2,0
2023,1,January,1,0,0,3
2022,12,December,0,1,7,9
2022,11,November,0,0,7,0
2022,10,October,1,1,7,2
2022,9,September,3,7,3,7
2022,8,August,1,3,7,15
2022,7,July,0,5,2,0
2022,6,June,0,6,3,2
2022,5,May,0,4,6,0
2022,4,April,1,8,20,9
2022,3,March,0,3,7,0
2022,2,February,0,2,6,0
2021,12,December,0,4,23,2
2021,11,November,2,0,0,13
2021,10,October,2,4,6,3
2021,9,September,0,1,3,1
2021,8,August,0,3,4,3
2021,7,July,1,0,0,0
2021,6,June,0,1,0,0
2021,5,May,0,1,2,3
2021,4,April,0,0,0,2
2021,3,March,0,1,0,0
2020,12,December,0,0,2,3
2020,10,October,0,1,0,0
2020,9,September,1,2,0,0
2020,8,August,1,1,0,3
2020,7,July,0,1,2,1
2020,5,May,0,0,1,3
2020,3,March,0,0,0,1
2020,2,February,2,2,0,0
2020,1,January,1,0,5,5
2019,12,December,1,4,20,9
2019,11,November,1,4,10,5
2019,10,October,1,3,1,8
2019,9,September,4,2,6,13
2019,8,August,1,4,10,7
2019,7,July,1,1,1,0
2019,6,June,1,3,19,17
2019,5,May,0,7,0,0
2019,4,April,0,0,5,6
2019,3,March,1,2,6,3
2019,1,January,0,0,6,0
