Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,12,6,10,33
2025,7,July,1,7,12,25
2025,6,June,3,3,21,35
2025,5,May,2,0,13,69
2025,4,April,2,4,22,109
2025,3,March,3,0,14,110
2025,2,February,17,7,9,80
2025,1,January,6,5,19,111
2024,12,December,11,1,32,82
2024,11,November,101,5,20,141
2024,10,October,30,5,12,53
2024,9,September,8,0,10,33
2024,8,August,7,0,9,42
2024,7,July,13,4,8,21
2024,6,June,2,4,8,58
2024,5,May,3,0,20,67
2024,4,April,22,3,40,85
2024,3,March,11,2,30,94
2024,2,February,16,5,377,63
2024,1,January,18,2,16,103
2023,12,December,4,7,24,32
2023,11,November,3,8,24,79
2023,10,October,14,7,33,20
2023,9,September,28,0,9,60
2023,8,August,3,0,8,48
2023,7,July,0,0,1,8
2023,6,June,5,8,6,66
2023,5,May,9,0,20,57
2023,4,April,8,0,9,107
2023,3,March,8,10,26,171
2023,2,February,5,13,19,100
2023,1,January,0,2,24,50
2022,12,December,5,2,14,37
2022,11,November,8,13,43,92
2022,10,October,14,2,245,160
2022,9,September,0,0,6,14
2022,8,August,7,0,0,87
2022,7,July,20,13,244,94
2022,6,June,2,0,262,116
2022,5,May,4,4,15,82
2022,4,April,21,11,24,99
2022,3,March,12,8,132,103
2022,2,February,11,11,244,58
2022,1,January,8,22,246,94
2021,12,December,17,7,23,74
2021,11,November,4,0,11,80
2021,10,October,8,0,16,70
2021,9,September,7,2,3,16
2021,8,August,26,1,13,69
2021,7,July,5,5,32,65
2021,6,June,9,0,5,42
2021,5,May,43,2,28,116
2021,4,April,19,2,29,91
2021,3,March,11,2,32,70
2021,2,February,4,0,10,55
2021,1,January,6,2,9,84
2020,12,December,18,8,24,100
2020,11,November,12,3,29,117
2020,10,October,3,1,8,36
2020,9,September,4,1,3,32
2020,8,August,0,1,2,17
2020,7,July,5,0,2,35
2020,6,June,0,0,10,13
2020,5,May,0,0,0,4
2020,4,April,11,0,6,4
2020,3,March,10,11,12,70
2020,2,February,22,11,34,46
2020,1,January,24,16,11,68
2019,12,December,10,8,10,71
2019,11,November,34,3,21,82
2019,10,October,20,5,24,60
2019,9,September,6,0,21,32
2019,8,August,2,2,1,28
2019,7,July,8,3,2,41
2019,6,June,12,4,40,37
2019,5,May,1,0,42,60
2019,4,April,11,2,27,105
2019,3,March,9,3,44,52
2019,2,February,11,3,42,129
2019,1,January,30,8,35,83
